claim_id,anchor,section,claim_type,severity,claim_text,expected_evidence_type,verification_method,pass_criteria,status,evidence_anchor,notes,original_anchor
claim-0016,docs/src/assurance/dcs-data-model.md:12,assurance,descriptive,low,| `/<scope>/leader` | HA worker | leader lease / primary coordination |,,,,verified,`src/dcs/store.rs` `write_leader_lease`/`delete_leader`; `src/ha/worker.rs` `dispatch_actions` leader-lease actions,"Leader coordination writes are done through `DcsHaWriter` methods (`write_leader_lease`, `delete_leader`) invoked from HA worker action dispatch.",docs/src/assurance/dcs-data-model.md:12
claim-0017,docs/src/assurance/dcs-data-model.md:19,assurance,descriptive,low,- DCS worker writes local membership updates as PostgreSQL state changes.,,,,verified,`src/dcs/worker.rs` `step_once` observes local PG state and updates local member state; `src/dcs/worker.rs` guards around unnecessary writes,"The DCS worker does write membership updates tied to local PostgreSQL state transitions (not on every tick), which is consistent with the claim’s intent and confirmed by worker tests around self-member writes/version change conditions.",docs/src/assurance/dcs-data-model.md:19
claim-0018,docs/src/assurance/dcs-data-model.md:20,assurance,descriptive,low,- HA worker updates leader coordination as lifecycle decisions change.,,,,verified,`src/ha/decide.rs` lifecycle decision output; `src/ha/worker.rs` executes lease/switchover clear actions,"HA decision logic emits coordination actions based on lifecycle/fencing states and the HA worker executes those against DCS writer actions, so leader coordination is updated by HA lifecycle decisions.",docs/src/assurance/dcs-data-model.md:20
claim-0019,docs/src/assurance/dcs-data-model.md:27,assurance,invariant,high,"Explicit ownership prevents hidden coordination side effects by scoping writes to specific key prefixes (and keeping write APIs path-disciplined). If a record is wrong, operators and contributors can identify which component is responsible.",,,,rewritten,`src/dcs/store.rs` path discipline tests for member/leader/switchover writes/deletes,"Rewritten wording: “Writer APIs are path-scoped and tests enforce path discipline (`member`, `leader`, `switchover`), which constrains hidden side effects between components.”",docs/src/assurance/dcs-data-model.md:27
claim-0020,docs/src/assurance/dcs-data-model.md:31,assurance,behavioral,medium,"Central coordination records simplify reasoning but require trust evaluation. If DCS trust degrades, role logic must become more conservative even when local PostgreSQL appears healthy.",,,,verified,`src/dcs/state.rs` `evaluate_trust`; `src/ha/decide.rs` behavior gating under degraded trust,"Trust status is a first-class input to control flow and role behavior is intentionally conservative when trust is degraded (`NotTrusted`/`FailSafe`), matching the claim.",docs/src/assurance/dcs-data-model.md:31
claim-0021,docs/src/assurance/dcs-data-model.md:35,assurance,descriptive,low,"When behavior is unexpected, inspect key ownership before assuming broad system failure. For example, stale switchover intent and conflicting leader records have different writers and different corrective paths.",,,,verified,`src/api/controller.rs` switchover submission writes; `src/api/worker.rs` `DELETE /ha/switchover` clears; `src/ha/worker.rs` switchover-clear handling; `src/ha/decide.rs` stale/terminal switchover corrective path,"The ownership split is concrete in code (`/switchover` writes are API-driven, `/leader` writes are HA-driven).",docs/src/assurance/dcs-data-model.md:35
claim-0022,docs/src/assurance/tradeoffs-limits.md:5,assurance,descriptive,low,## Primary tradeoffs,,,,removed,"`src/ha/decide.rs:51-59` (ambiguous/unsafe coordination drives FailSafe), `src/config/parser.rs:575-606` (rejects weak/invalid DCS and HA parameters), `src/ha/decide.rs:390-445` (failure/tension paths explicitly fence or fail-safe)","Rewritten wording: “The implementation is conservative under ambiguous or underspecified coordination by forcing `FailSafe` in non-full quorum situations and by hard-failing malformed core configuration before runtime.”; status adjusted in adjudication: heading/table-of-contents line, not a verifiable behavioral claim",docs/src/assurance/tradeoffs-limits.md:5
claim-0023,docs/src/assurance/tradeoffs-limits.md:13,assurance,descriptive,low,- Coordination quality depends on etcd health and consistent scope usage.,,,,verified,"`src/dcs/state.rs:87-103` (`evaluate_trust` requires healthy store + membership consistency), `src/ha/decide.rs:51-59` (trust gates major HA transitions), `src/dcs/keys.rs:26-33,85-91` (scope-prefix check and wrong-scope rejection test coverage)","Verified: coordination behavior is bounded by etcd/DCS health and scope-correct key parsing, and tests explicitly cover wrong-scope rejection.",docs/src/assurance/tradeoffs-limits.md:13
claim-0024,docs/src/assurance/tradeoffs-limits.md:14,assurance,descriptive,low,"- Recovery success (and time-to-recovery) is constrained by prerequisites like binary wiring, auth, and network reachability to the source primary, plus configured timeouts.",,,,rewritten,"`src/ha/decide.rs:148-190` (rewind/bootstrap/fencing transition branching), `src/ha/decide.rs:420-431`, `src/runtime/node.rs:275-288` (clone/init startup decisions based on healthy leader availability), `src/process/worker.rs:614-667` (basebackup/rewind command specs require source host/user/dbname and network-oriented connection args), `src/process/worker.rs:560-563` (timeout selection for rewind/bootstrap jobs)","Uncertain: code clearly shows recovery path choice depends on rewind/bootstrap job outcomes and command prerequisites, but the claim’s “recovery speed depends on” is not directly measured/guarded by an explicit metric in repo code. Follow-up: add a test asserting timeout/path-shape behavior under source connectivity failure to close this gap.
Status updated to rewritten: bounded operational constraint statement; no hard guarantee asserted.",docs/src/assurance/tradeoffs-limits.md:14
claim-0025,docs/src/assurance/safety-invariants.md:7,assurance,descriptive,low,- conflicting leader evidence triggers conservative behavior,,,,verified,"`src/ha/decide.rs:20-44`, `src/ha/decide.rs:125-140`, `src/ha/decide.rs:542-567`, `src/ha/worker.rs:1289-1310` (`integration_primary_split_brain_enters_fencing_and_process_feedback_advances`)","Verified: conflicting non-self leader evidence drives conservative actions (demote/release lease/fence) in decision output, and the integration test explicitly validates split-brain primary transition to fencing with the expected pending actions.",docs/src/assurance/safety-invariants.md:7
claim-0026,docs/src/concepts/glossary.md:3,concepts,descriptive,low,- DCS: distributed configuration store used for coordination (etcd in this implementation).,,,,verified,"[`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/etcd_store.rs:51-53`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/etcd_store.rs:51) and [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:657-665`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:657), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:691-700`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:691), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:720-721`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:720)","Verified: runtime wires DCS coordination through `EtcdDcsStore::connect` for DCS, HA, and API workers, so etcd is the active coordination backend in this implementation.",docs/src/concepts/glossary.md:3
claim-0027,docs/src/concepts/glossary.md:4,concepts,descriptive,low,"- Scope: namespace prefix in DCS keys, usually `/<scope>/...`.",,,,verified,"[`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/keys.rs:26-34`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/keys.rs:26), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/keys.rs:37-52`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/keys.rs:37), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/store.rs:94-100`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/store.rs:94)","Verified: keys are normalized under `/{scope}/...`, and explicit tests assert supported paths like `""/scope-a/member/node-a""`, `""/scope-a/leader""`, and `""/scope-a/switchover""`.",docs/src/concepts/glossary.md:4
claim-0028,docs/src/concepts/glossary.md:6,concepts,descriptive,low,- Leader record: DCS record identifying current primary leadership ownership.,,,,verified,"[`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs:45-47`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs:45), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/store.rs:55-83`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/store.rs:55), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/worker.rs:36-43`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/worker.rs:36), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/keys.rs:39-40`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/keys.rs:39)","Verified: a leader record is typed as `LeaderRecord { member_id: MemberId }`, and the writer/read/write-key path stores it at `/{scope}/leader` and updates `cache.leader` on `DcsKey::Leader`.",docs/src/concepts/glossary.md:6
claim-0029,docs/src/concepts/glossary.md:7,concepts,descriptive,low,- Switchover intent: operator request record for planned primary transition.,,,,verified,"[`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/api/controller.rs:19-40`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/api/controller.rs:19), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs:50-52`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs:50), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/api/worker.rs:184-200`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/api/worker.rs:184)","Verified: `POST /switchover` maps to `post_switchover`, which writes a typed `SwitchoverRequest { requested_by }` to `/{scope}/switchover` for planned transition intent.",docs/src/concepts/glossary.md:7
claim-0030,docs/src/concepts/glossary.md:9,concepts,descriptive,high,- Fail-safe: conservative operating posture under degraded coordination trust.,,,,verified,"[`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs:87-103`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs:87), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:51-59`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:51), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/worker.rs:72-88`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/worker.rs:72), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:51-59`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:51)","Verified: fail-safe is conservative—`DcsTrust` drops to `FailSafe` when coordination/membership consistency is degraded, and `decide` immediately transitions to `HaPhase::FailSafe` and emits `SignalFailSafe` actions.",docs/src/concepts/glossary.md:9
claim-0031,docs/src/concepts/glossary.md:10,concepts,descriptive,high,- Fencing: safety behavior that reduces split-brain risk when conflicting evidence appears.,,,,verified,"[`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:39-45`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:39), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:126-139`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:126), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:191-204`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:191), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/tests/ha/decide.rs:378-390`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:378)","Verified: conflicting evidence (`leader` key points to another member while self is primary) drives `DemoteToReplica`, `ReleaseLeaderLease`, and `FenceNode`, which is explicit split-brain risk-reduction fencing behavior.",docs/src/concepts/glossary.md:10
claim-0032,docs/src/concepts/glossary.md:12,concepts,descriptive,low,- Rewind: divergence-recovery path using `pg_rewind`.,,,,verified,"[`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:131-134`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:131), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs:233-251`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs:233), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/worker.rs:651-676`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/worker.rs:651), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/worker.rs:1387-1399`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/worker.rs:1387)","Verified: unreachable primary transitions to `StartRewind`; dispatch constructs a `PgRewind` job, and process command construction invokes the configured `pg_rewind` binary with `--target-pgdata` and `--source-server`.",docs/src/concepts/glossary.md:12
claim-0033,docs/src/concepts/glossary.md:13,concepts,descriptive,low,- Bootstrap recovery: local reinitialization (`RunBootstrap` / `initdb`) when rewind is unsafe or fails; basebackup cloning is a separate startup path for joining an existing primary.,,,,rewritten,"[`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:160-162,169-163`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:160), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs:259-277`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs:259), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/worker.rs:587-605`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/worker.rs:587), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:361-370`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:361), [`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:1003-1054`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:1003)",Rewritten replacement: “Bootstrap recovery uses local bootstrap reinitialization (`RunBootstrap` → `Bootstrap`/`initdb`) after rewind/bootstrapping failures; re-clone via `BaseBackup` is only exercised in startup `CloneReplica` mode when joining with an observed healthy foreign primary.”,docs/src/concepts/glossary.md:13
claim-0034,docs/src/assurance/safety-case.md:3,assurance,descriptive,high,This chapter argues why the architecture constrains split-brain risk under expected failure modes.,,,,verified,"[src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:20-230) (`decide` trust-gated phase machine); [src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:306-639) (`transition_matrix_cases`, `fail_safe_holds_without_quorum_and_exits_when_restored`); [src/ha/e2e_multi_node.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/e2e_multi_node.rs:2084-2130) (`e2e_multi_node_real_ha_scenario_matrix` with no-dual-primary + all-nodes fail-safe checks)","Verified: the active decision logic plus transition/unit/e2e coverage shows explicit handling of split-brain, primary movement, and no-quorum behavior rather than relying on implicit assumptions.",docs/src/assurance/safety-case.md:3
claim-0035,docs/src/assurance/safety-case.md:7,assurance,descriptive,low,"The system reduces the chance of concurrent primaries by coupling promotion and demotion behavior to trust, leader evidence, and explicit lifecycle guards.",,,,verified,"[src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:51-58,68-138) (`decide` trust/leader guards, promotion/fencing candidates); [src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:306-390) (`transition_matrix_cases`, `candidate becomes primary when lease self`, `primary split brain fences`)","Verified: promotion is gated on `FullQuorum` trust and explicit leader/lease evidence, and split/leader-conflict states map to demotion/fencing actions instead of opportunistic promotion.",docs/src/assurance/safety-case.md:7
claim-0036,docs/src/assurance/safety-case.md:11,assurance,descriptive,low,"- promotion is conditional, not automatic on leader absence alone",,,,verified,"[src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:61-105,107-125) (`decide` transitions for leader-missing paths); [src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:306-376) (`transition_matrix_cases`, `waiting dcs becomes candidate when no leader`, `candidate becomes primary when lease self`)","Verified: missing leader leads to candidate-lease flow (`AcquireLeaderLease`) and only transitions to `Primary` when lease/self conditions hold, so it is not automatic on leader absence alone.",docs/src/assurance/safety-case.md:11
claim-0037,docs/src/assurance/safety-case.md:12,assurance,descriptive,high,- conflicting leader evidence is treated as a safety signal,,,,verified,"[src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:39-45,134-139) (`has_other_leader_record` and split-brain fence branch); [src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:378-391) (`transition_matrix_cases` case: `""primary split brain fences""`); [src/ha/worker.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs:1289-1333) (`integration_primary_split_brain_enters_fencing_and_process_feedback_advances`)","Verified: conflicting leader evidence triggers `Fencing` (`DemoteToReplica`, `ReleaseLeaderLease`, `FenceNode`) rather than promotion, matching the safety-signal interpretation of conflicting leadership.",docs/src/assurance/safety-case.md:12
